Price Type,Commodity,Price
Average Price,Rice,42.74
Average Price,Wheat,31.26
Average Price,Atta (Wheat),36.62
Average Price,Gram Dal,86.19
Average Price,Tur/Arhar Dal,120.38
Average Price,Urad Dal,115.33
Average Price,Moong Dal,110.77
Average Price,Masoor Dal,88.34
Average Price,Sugar,45.95
Average Price,Milk @,59.22
Average Price,Groundnut Oil (Packed),188.43
Average Price,Mustard Oil (Packed),178.78
Average Price,Vanaspati (Packed),156.48
Average Price,Soya Oil (Packed),146.67
Average Price,Sunflower Oil (Packed),160.33
Average Price,Palm Oil (Packed),129.94
Average Price,Gur,55.99
Average Price,Tea Loose,271.87
Average Price,Salt Pack (Iodised),21.34
Average Price,Potato,25.85
Average Price,Onion,28.25
Average Price,Tomato,41.4
Maximum Price,Rice,63.0
Maximum Price,Wheat,55.0
Maximum Price,Atta (Wheat),71.0
Maximum Price,Gram Dal,140.0
Maximum Price,Tur/Arhar Dal,183.0
Maximum Price,Urad Dal,170.0
Maximum Price,Moong Dal,148.0
Maximum Price,Masoor Dal,130.0
Maximum Price,Sugar,60.0
Maximum Price,Milk @,82.0
Maximum Price,Groundnut Oil (Packed),279.0
Maximum Price,Mustard Oil (Packed),242.0
Maximum Price,Vanaspati (Packed),231.0
Maximum Price,Soya Oil (Packed),198.0
Maximum Price,Sunflower Oil (Packed),253.0
Maximum Price,Palm Oil (Packed),177.0
Maximum Price,Gur,128.0
Maximum Price,Tea Loose,600.0
Maximum Price,Salt Pack (Iodised),32.0
Maximum Price,Potato,60.0
Maximum Price,Onion,60.0
Maximum Price,Tomato,120.0
Minimum Price,Rice,28.0
Minimum Price,Wheat,23.0
Minimum Price,Atta (Wheat),28.0
Minimum Price,Gram Dal,68.0
Minimum Price,Tur/Arhar Dal,90.0
Minimum Price,Urad Dal,83.0
Minimum Price,Moong Dal,81.0
Minimum Price,Masoor Dal,71.0
Minimum Price,Sugar,38.0
Minimum Price,Milk @,40.0
Minimum Price,Groundnut Oil (Packed),143.0
Minimum Price,Mustard Oil (Packed),136.0
Minimum Price,Vanaspati (Packed),103.0
Minimum Price,Soya Oil (Packed),113.0
Minimum Price,Sunflower Oil (Packed),123.0
Minimum Price,Palm Oil (Packed),90.0
Minimum Price,Gur,40.0
Minimum Price,Tea Loose,150.0
Minimum Price,Salt Pack (Iodised),10.0
Minimum Price,Potato,11.0
Minimum Price,Onion,13.0
Minimum Price,Tomato,15.0
Modal Price,Rice,40.0
Modal Price,Wheat,28.0
Modal Price,Atta (Wheat),35.0
Modal Price,Gram Dal,80.0
Modal Price,Tur/Arhar Dal,120.0
Modal Price,Urad Dal,120.0
Modal Price,Moong Dal,110.0
Modal Price,Masoor Dal,90.0
Modal Price,Sugar,45.0
Modal Price,Milk @,60.0
Modal Price,Groundnut Oil (Packed),185.0
Modal Price,Mustard Oil (Packed),176.0
Modal Price,Vanaspati (Packed),149.5
Modal Price,Soya Oil (Packed),154.0
Modal Price,Sunflower Oil (Packed),159.0
Modal Price,Palm Oil (Packed),131.5
Modal Price,Gur,50.0
Modal Price,Tea Loose,240.0
Modal Price,Salt Pack (Iodised),20.0
Modal Price,Potato,20.0
Modal Price,Onion,25.0
Modal Price,Tomato,40.0
Andaman and Nicobar,Rice,54.0
Andaman and Nicobar,Atta (Wheat),63.67
Andaman and Nicobar,Gram Dal,104.67
Andaman and Nicobar,Tur/Arhar Dal,134.67
Andaman and Nicobar,Urad Dal,137.33
Andaman and Nicobar,Moong Dal,124.33
Andaman and Nicobar,Masoor Dal,98.67
Andaman and Nicobar,Sugar,55.67
Andaman and Nicobar,Milk @,73.0
Andaman and Nicobar,Groundnut Oil (Packed),244.0
Andaman and Nicobar,Mustard Oil (Packed),190.5
Andaman and Nicobar,Vanaspati (Packed),200.0
Andaman and Nicobar,Sunflower Oil (Packed),166.67
Andaman and Nicobar,Palm Oil (Packed),149.67
Andaman and Nicobar,Gur,77.0
Andaman and Nicobar,Tea Loose,341.0
Andaman and Nicobar,Salt Pack (Iodised),20.33
Andaman and Nicobar,Potato,53.33
Andaman and Nicobar,Onion,56.67
Andaman and Nicobar,Tomato,86.67
Andhra Pradesh,Rice,48.88
Andhra Pradesh,Wheat,44.22
Andhra Pradesh,Atta (Wheat),47.12
Andhra Pradesh,Gram Dal,82.29
Andhra Pradesh,Tur/Arhar Dal,107.5
Andhra Pradesh,Urad Dal,108.13
Andhra Pradesh,Moong Dal,108.94
Andhra Pradesh,Masoor Dal,87.88
Andhra Pradesh,Sugar,44.5
Andhra Pradesh,Milk @,63.11
Andhra Pradesh,Groundnut Oil (Packed),169.38
Andhra Pradesh,Mustard Oil (Packed),188.21
Andhra Pradesh,Vanaspati (Packed),146.0
Andhra Pradesh,Soya Oil (Packed),153.0
Andhra Pradesh,Sunflower Oil (Packed),159.69
Andhra Pradesh,Palm Oil (Packed),125.27
Andhra Pradesh,Gur,56.06
Andhra Pradesh,Tea Loose,290.24
Andhra Pradesh,Salt Pack (Iodised),19.47
Andhra Pradesh,Potato,29.94
Andhra Pradesh,Onion,25.71
Andhra Pradesh,Tomato,28.44
Arunachal pradesh,Rice,42.5
Arunachal pradesh,Wheat,45.0
Arunachal pradesh,Atta (Wheat),45.25
Arunachal pradesh,Gram Dal,96.0
Arunachal pradesh,Tur/Arhar Dal,136.75
Arunachal pradesh,Urad Dal,130.75
Arunachal pradesh,Moong Dal,119.0
Arunachal pradesh,Masoor Dal,95.25
Arunachal pradesh,Sugar,53.75
Arunachal pradesh,Milk @,75.0
Arunachal pradesh,Groundnut Oil (Packed),176.0
Arunachal pradesh,Mustard Oil (Packed),198.25
Arunachal pradesh,Vanaspati (Packed),153.67
Arunachal pradesh,Soya Oil (Packed),162.25
Arunachal pradesh,Sunflower Oil (Packed),170.25
Arunachal pradesh,Gur,86.0
Arunachal pradesh,Tea Loose,354.25
Arunachal pradesh,Salt Pack (Iodised),17.75
Arunachal pradesh,Potato,30.5
Arunachal pradesh,Onion,39.5
Arunachal pradesh,Tomato,54.0
Assam,Rice,39.43
Assam,Wheat,35.8
Assam,Atta (Wheat),39.5
Assam,Gram Dal,86.82
Assam,Tur/Arhar Dal,121.57
Assam,Urad Dal,102.65
Assam,Moong Dal,109.46
Assam,Masoor Dal,88.29
Assam,Sugar,48.11
Assam,Milk @,71.67
Assam,Groundnut Oil (Packed),186.17
Assam,Mustard Oil (Packed),183.93
Assam,Vanaspati (Packed),160.05
